Date;День;месяц_;Номер недели;месяцномер;weekday;деньнедели;абсолютный номер недели;праздник;кодпр
01.01.2021 0:00;1;янв;1;1;6;Пт;202101;праздник;1
02.01.2021 0:00;2;янв;1;1;7;Сб;202101;послепр;2
03.01.2021 0:00;3;янв;2;1;1;Вс;202102;об;10
04.01.2021 0:00;4;янв;2;1;2;Пн;202102;об;10
05.01.2021 0:00;5;янв;2;1;3;Вт;202102;об;10
06.01.2021 0:00;6;янв;2;1;4;Ср;202102;предпр;0
07.01.2021 0:00;7;янв;2;1;5;Чт;202102;праздник;1
08.01.2021 0:00;8;янв;2;1;6;Пт;202102;послепр;2
09.01.2021 0:00;9;янв;2;1;7;Сб;202102;об;10
10.01.2021 0:00;10;янв;3;1;1;Вс;202103;об;10
11.01.2021 0:00;11;янв;3;1;2;Пн;202103;об;10
12.01.2021 0:00;12;янв;3;1;3;Вт;202103;об;10
13.01.2021 0:00;13;янв;3;1;4;Ср;202103;об;10
14.01.2021 0:00;14;янв;3;1;5;Чт;202103;об;10
15.01.2021 0:00;15;янв;3;1;6;Пт;202103;об;10
16.01.2021 0:00;16;янв;3;1;7;Сб;202103;об;10
17.01.2021 0:00;17;янв;4;1;1;Вс;202104;об;10
18.01.2021 0:00;18;янв;4;1;2;Пн;202104;об;10
19.01.2021 0:00;19;янв;4;1;3;Вт;202104;об;10
20.01.2021 0:00;20;янв;4;1;4;Ср;202104;об;10
21.01.2021 0:00;21;янв;4;1;5;Чт;202104;об;10
22.01.2021 0:00;22;янв;4;1;6;Пт;202104;об;10
23.01.2021 0:00;23;янв;4;1;7;Сб;202104;об;10
24.01.2021 0:00;24;янв;5;1;1;Вс;202105;об;10
25.01.2021 0:00;25;янв;5;1;2;Пн;202105;об;10
26.01.2021 0:00;26;янв;5;1;3;Вт;202105;об;10
27.01.2021 0:00;27;янв;5;1;4;Ср;202105;об;10
28.01.2021 0:00;28;янв;5;1;5;Чт;202105;об;10
29.01.2021 0:00;29;янв;5;1;6;Пт;202105;об;10
30.01.2021 0:00;30;янв;5;1;7;Сб;202105;об;10
