Date,День,месяц_,Номер недели,месяцномер,weekday,деньнедели,абсолютный номер недели,номер недели р,numweek
2021-01-01 00:00:00,1,янв,1,1,6,Пт,202101,1,1
2021-01-02 00:00:00,2,янв,1,1,7,Сб,202101,1,1
2021-01-03 00:00:00,3,янв,2,1,1,Вс,202102,1,2
2021-01-04 00:00:00,4,янв,2,1,2,Пн,202102,2,2
2021-01-05 00:00:00,5,янв,2,1,3,Вт,202102,2,2
2021-01-06 00:00:00,6,янв,2,1,4,Ср,202102,2,2
2021-01-07 00:00:00,7,янв,2,1,5,Чт,202102,2,2
2021-01-08 00:00:00,8,янв,2,1,6,Пт,202102,2,2
2021-01-09 00:00:00,9,янв,2,1,7,Сб,202102,2,2
2021-01-10 00:00:00,10,янв,3,1,1,Вс,202103,2,3
2021-01-11 00:00:00,11,янв,3,1,2,Пн,202103,3,3
2021-01-12 00:00:00,12,янв,3,1,3,Вт,202103,3,3
2021-01-13 00:00:00,13,янв,3,1,4,Ср,202103,3,3
2021-01-14 00:00:00,14,янв,3,1,5,Чт,202103,3,3
2021-01-15 00:00:00,15,янв,3,1,6,Пт,202103,3,3
2021-01-16 00:00:00,16,янв,3,1,7,Сб,202103,3,3
2021-01-17 00:00:00,17,янв,4,1,1,Вс,202104,3,4
2021-01-18 00:00:00,18,янв,4,1,2,Пн,202104,4,4
2021-01-19 00:00:00,19,янв,4,1,3,Вт,202104,4,4
2021-01-20 00:00:00,20,янв,4,1,4,Ср,202104,4,4
2021-01-21 00:00:00,21,янв,4,1,5,Чт,202104,4,4
2021-01-22 00:00:00,22,янв,4,1,6,Пт,202104,4,4
2021-01-23 00:00:00,23,янв,4,1,7,Сб,202104,4,4
2021-01-24 00:00:00,24,янв,5,1,1,Вс,202105,4,5
2021-01-25 00:00:00,25,янв,5,1,2,Пн,202105,5,5
2021-01-26 00:00:00,26,янв,5,1,3,Вт,202105,5,5
2021-01-27 00:00:00,27,янв,5,1,4,Ср,202105,5,5
2021-01-28 00:00:00,28,янв,5,1,5,Чт,202105,5,5
2021-01-29 00:00:00,29,янв,5,1,6,Пт,202105,5,5
2021-01-30 00:00:00,30,янв,5,1,7,Сб,202105,5,5
2021-01-31 00:00:00,31,янв,6,1,1,Вс,202106,5,6
2021-02-01 00:00:00,1,фев,6,2,2,Пн,202106,6,6
2021-02-02 00:00:00,2,фев,6,2,3,Вт,202106,6,6
2021-02-03 00:00:00,3,фев,6,2,4,Ср,202106,6,6
2021-02-04 00:00:00,4,фев,6,2,5,Чт,202106,6,6
2021-02-05 00:00:00,5,фев,6,2,6,Пт,202106,6,6
2021-02-06 00:00:00,6,фев,6,2,7,Сб,202106,6,6
2021-02-07 00:00:00,7,фев,7,2,1,Вс,202107,6,7
2021-02-08 00:00:00,8,фев,7,2,2,Пн,202107,7,7
2021-02-09 00:00:00,9,фев,7,2,3,Вт,202107,7,7
2021-02-10 00:00:00,10,фев,7,2,4,Ср,202107,7,7
2021-02-11 00:00:00,11,фев,7,2,5,Чт,202107,7,7
2021-02-12 00:00:00,12,фев,7,2,6,Пт,202107,7,7
2021-02-13 00:00:00,13,фев,7,2,7,Сб,202107,7,7
2021-02-14 00:00:00,14,фев,8,2,1,Вс,202108,7,8
2021-02-15 00:00:00,15,фев,8,2,2,Пн,202108,8,8
2021-02-16 00:00:00,16,фев,8,2,3,Вт,202108,8,8
2021-02-17 00:00:00,17,фев,8,2,4,Ср,202108,8,8
2021-02-18 00:00:00,18,фев,8,2,5,Чт,202108,8,8
2021-02-19 00:00:00,19,фев,8,2,6,Пт,202108,8,8
2021-02-20 00:00:00,20,фев,8,2,7,Сб,202108,8,8
2021-02-21 00:00:00,21,фев,9,2,1,Вс,202109,8,9
2021-02-22 00:00:00,22,фев,9,2,2,Пн,202109,9,9
2021-02-23 00:00:00,23,фев,9,2,3,Вт,202109,9,9
2021-02-24 00:00:00,24,фев,9,2,4,Ср,202109,9,9
2021-02-25 00:00:00,25,фев,9,2,5,Чт,202109,9,9
2021-02-26 00:00:00,26,фев,9,2,6,Пт,202109,9,9
2021-02-27 00:00:00,27,фев,9,2,7,Сб,202109,9,9
2021-02-28 00:00:00,28,фев,10,2,1,Вс,202110,9,10
2021-03-01 00:00:00,1,мар,10,3,2,Пн,202110,10,10
2021-03-02 00:00:00,2,мар,10,3,3,Вт,202110,10,10
2021-03-03 00:00:00,3,мар,10,3,4,Ср,202110,10,10
2021-03-04 00:00:00,4,мар,10,3,5,Чт,202110,10,10
2021-03-05 00:00:00,5,мар,10,3,6,Пт,202110,10,10
2021-03-06 00:00:00,6,мар,10,3,7,Сб,202110,10,10
2021-03-07 00:00:00,7,мар,11,3,1,Вс,202111,10,11
2021-03-08 00:00:00,8,мар,11,3,2,Пн,202111,11,11
2021-03-09 00:00:00,9,мар,11,3,3,Вт,202111,11,11
2021-03-10 00:00:00,10,мар,11,3,4,Ср,202111,11,11
2021-03-11 00:00:00,11,мар,11,3,5,Чт,202111,11,11
2021-03-12 00:00:00,12,мар,11,3,6,Пт,202111,11,11
2021-03-13 00:00:00,13,мар,11,3,7,Сб,202111,11,11
2021-03-14 00:00:00,14,мар,12,3,1,Вс,202112,11,12
2021-03-15 00:00:00,15,мар,12,3,2,Пн,202112,12,12
2021-03-16 00:00:00,16,мар,12,3,3,Вт,202112,12,12
2021-03-17 00:00:00,17,мар,12,3,4,Ср,202112,12,12
2021-03-18 00:00:00,18,мар,12,3,5,Чт,202112,12,12
2021-03-19 00:00:00,19,мар,12,3,6,Пт,202112,12,12
2021-03-20 00:00:00,20,мар,12,3,7,Сб,202112,12,12
2021-03-21 00:00:00,21,мар,13,3,1,Вс,202113,12,13
2021-03-22 00:00:00,22,мар,13,3,2,Пн,202113,13,13
2021-03-23 00:00:00,23,мар,13,3,3,Вт,202113,13,13
2021-03-24 00:00:00,24,мар,13,3,4,Ср,202113,13,13
2021-03-25 00:00:00,25,мар,13,3,5,Чт,202113,13,13
2021-03-26 00:00:00,26,мар,13,3,6,Пт,202113,13,13
2021-03-27 00:00:00,27,мар,13,3,7,Сб,202113,13,13
2021-03-28 00:00:00,28,мар,14,3,1,Вс,202114,13,14
2021-03-29 00:00:00,29,мар,14,3,2,Пн,202114,14,14
2021-03-30 00:00:00,30,мар,14,3,3,Вт,202114,14,14
2021-03-31 00:00:00,31,мар,14,3,4,Ср,202114,14,14
2021-04-01 00:00:00,1,апр,14,4,5,Чт,202114,14,14
2021-04-02 00:00:00,2,апр,14,4,6,Пт,202114,14,14
2021-04-03 00:00:00,3,апр,14,4,7,Сб,202114,14,14
2021-04-04 00:00:00,4,апр,15,4,1,Вс,202115,14,15
2021-04-05 00:00:00,5,апр,15,4,2,Пн,202115,15,15
2021-04-06 00:00:00,6,апр,15,4,3,Вт,202115,15,15
