Отделение,"Сумма Сумма со скидкой, р."
"ул. 203 мкр, 8 корпус",49595925.83
Лермонтова 62/2,37187900.97
Дзержинского 1,28006186.09
Юнимолл,24900575.45
Кирова 20,24193408.14
Орджоникидзе 18,21727623.79
Кузьмина 34а,20883692.51
Алексеева 7,20320581.04
Павильон Пояркова 20/1,18076159.32
Дзержинского 30а,15236884.09
50 лет октября 6,13460544.18
Пояркова 21,10741429.02
203 мкр корпус 22,9505125.3
Можайского 17/1,7831346.96
Лермонтова 56а,7711844.8
Дзержинского 42 к.3,5691095.13
С. Данилова 1а,4788484.78
ул. Ф.Попова д. 15,3438757.04
Ларионова 16,1791875.6
